cement_normalized,slag_normalized,ash_normalized,water_normalized,superplastic_normalized,coarseagg_normalized,fineagg_normalized,converted_age,converted_strength
0.08972602739726032,0.5898720089037285,0.0,0.6525559105431309,0.0,0.49651162790697656,0.3876066231811339,5,2
0.15273972602739727,0.11741791875347804,0.6211894052973513,0.2915335463258788,0.3354037267080745,0.8133720930232555,0.5072754641244357,4,2
0.33789954337899536,0.0,0.4782608695652174,0.5239616613418532,0.17080745341614906,0.4531976744186048,0.6703462117410941,5,2
0.37442922374429216,0.31719532554257096,0.0,0.8482428115015974,0.0,0.3808139534883721,0.19066733567486205,5,4
0.12054794520547946,0.510294936004452,0.0,0.5710862619808308,0.2826086956521739,0.7162790697674422,0.2576517812343202,5,1
0.3493150684931507,0.0,0.0,0.560702875399361,0.0,0.25813953488372077,0.8805820371299549,7,2
0.14794520547945206,0.6961602671118531,0.0,0.6525559105431309,0.0,0.507558139534884,0.24736578023080802,3,1
0.34109589041095895,0.0,0.5912043978010995,0.5327476038338659,0.19875776397515527,0.6610465116279074,0.4106874059207226,6,3
0.4429223744292237,0.0,0.0,0.560702875399361,0.0,0.8255813953488373,0.4290015052684395,5,2
0.12100456621004568,0.511964385086255,0.7146426786606697,0.5766773162939298,0.2795031055900621,0.22965116279069786,0.2634219769192172,5,2
0.11369863013698633,0.4955481357818587,0.6931534232883558,0.3650159744408945,0.5683229813664595,0.4156976744186047,0.2523833416959358,5,3
0.16210045662100453,0.3227601558152477,0.0,0.560702875399361,0.0,0.4238372093023255,0.6593075765178125,2,1
0.6461187214611872,0.0,0.0,0.5127795527156549,0.0,0.47965116279069786,0.4239839438033117,4,2
0.3093607305936073,0.6608235948803562,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0,3,2
0.14840182648401828,0.52031163049527,0.974512743628186,0.5047923322683707,0.21739130434782605,0.28197674418604635,0.10536879076768702,5,2
0.25525114155251144,0.27295492487479134,0.12243878060969515,0.4784345047923322,0.20807453416149066,0.7703488372093026,0.48043151028600106,9,4
0.3093607305936073,0.6608235948803562,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0,5,3
0.5342465753424657,0.0,0.0,0.48083067092651754,0.09316770186335402,0.5377906976744184,0.5594581033617663,5,4
0.2025114155251141,0.0,0.6266866566716642,0.3218849840255591,0.24223602484472045,0.8401162790697674,0.5268439538384346,2,1
0.4810502283105022,0.0,0.0,0.4496805111821085,0.24844720496894407,0.5776162790697676,0.5725037631710992,5,2
0.291552511415525,0.0,0.5907046476761619,0.5862619808306708,0.18944099378881984,0.660174418604651,0.4104365278474662,2,1
0.2876712328767123,0.9518642181413468,0.0,0.5103833865814695,0.0,0.44999999999999973,0.20145509282488705,3,2
0.3059360730593607,0.4368391764051197,0.0,0.560702875399361,0.0,0.49883720930232567,0.3891118916206724,3,2
0.0684931506849315,0.5759599332220368,0.8045977011494253,0.4568690095846646,0.15527950310559005,0.19186046511627897,0.35624686402408434,5,3
0.5228310502283104,0.0,0.0,0.560702875399361,0.0,0.6511627906976742,0.5694932262920223,5,3
0.4748858447488585,0.3978853644963829,0.0,0.3690095846645367,0.3105590062111801,0.3284883720930232,0.5268439538384346,5,4
0.4611872146118721,0.211463550361714,0.0,0.8482428115015974,0.0,0.3808139534883721,0.19066733567486205,7,4
0.7374429223744292,0.29577072899276574,0.0,0.25319488817891367,0.5124223602484471,0.14854651162790722,0.7353236327145007,8,5
0.14634703196347032,0.0,0.8160919540229886,0.4369009584664536,0.13975155279503104,0.7488372093023252,0.46688409433015554,5,2
0.3493150684931507,0.27545909849749584,0.3848075962018991,0.5367412140575081,0.18633540372670804,0.34302325581395365,0.388861013547416,5,3
0.5410958904109588,0.0,0.0,0.6006389776357828,0.0,0.48546511627906996,0.46914199698946324,5,3
0.8515981735159817,0.0,0.0,0.8482428115015974,0.0,0.3808139534883721,0.0,5,3
0.09977168949771686,0.48024485253199783,0.0,0.48003194888178924,0.10559006211180123,0.5372093023255813,0.5589563472152534,5,2
0.48173515981735154,0.4034501947690596,0.0,0.04153354632587858,0.24844720496894407,0.5784883720930232,0.5720020070245859,5,4
0.5228310502283104,0.0,0.0,0.560702875399361,0.0,0.6511627906976742,0.5694932262920223,7,3
0.1735159817351598,0.3611574846967168,0.592703648175912,0.46405750798722045,0.11180124223602483,0.5997093023255813,0.38334169593577516,5,3
0.14383561643835613,0.0,0.7176411794102948,0.3354632587859425,0.0,0.5947674418604652,0.7699448068238837,4,1
0.39999999999999997,0.27212020033388984,0.12243878060969515,0.31070287539936103,0.3478260869565217,0.7578488372093024,0.4729051680883092,4,4
0.5091324200913241,0.0,0.0,0.49680511182108633,0.0,0.7616279069767442,0.474159558454591,3,1
0.14840182648401828,0.209794101279911,0.8345827086456772,0.33706070287539935,0.2453416149068323,0.5997093023255813,0.4417962870045158,5,4
0.2116438356164383,0.0,0.5022488755622189,0.3865814696485623,0.23291925465838506,0.5726744186046511,0.7722027094831911,4,2
0.33059360730593607,0.0,0.6251874062968515,0.17172523961661357,0.3726708074534161,0.8308139534883718,0.5190667335674861,6,5
0.639269406392694,0.0,0.0,0.5047923322683707,0.0,0.7151162790697674,0.3637732062217762,5,3
0.10730593607305933,0.3283249860879244,0.4597701149425288,0.48881789137380194,0.21739130434782605,0.44186046511627897,0.46663321625689913,5,2
0.9801369863013696,0.0,0.0,0.15974440894568698,0.8757763975155278,0.14854651162790722,0.751881585549423,8,5
0.6506849315068493,0.05564830272676684,0.4697651174412794,0.28115015974440905,0.3602484472049689,0.3982558139534884,0.6297039638735573,6,5
0.2089041095890411,0.8074568725653868,0.0,0.5103833865814695,0.0,0.5732558139534887,0.2767185148018063,3,1
0.5114155251141552,0.0,0.6896551724137931,0.6166134185303513,0.3416149068322981,0.0,0.4967385850476669,5,4
0.5385844748858446,0.5258764607679466,0.0,0.4241214057507987,0.29503105590062106,0.417732558139535,0.4059207225288508,5,4
0.7374429223744292,0.29577072899276574,0.0,0.25319488817891367,0.5124223602484471,0.14854651162790722,0.7353236327145007,2,3
